1725469,Florian Zeller
164,Anthony Hopkins
1469236,Olivia Colman
309693,Mark Gatiss
581,Joseph L. Mankiewicz
581,Joseph L. Mankiewicz
650581,Mary Orr
12,Bette Davis
879,Anne Baxter
1695,George Sanders
3453283,Dan Kwan
3215397,Daniel Scheinert
3453283,Dan Kwan
3215397,Daniel Scheinert
706,Michelle Yeoh
3513533,Stephanie Hsu
702841,Ke Huy Quan
268380,Peter Farrelly
885014,Nick Vallelonga
192942,Brian Hayes Currie
268380,Peter Farrelly
1557,Viggo Mortensen
991810,Mahershala Ali
4802,Linda Cardellini
217,Martin Scorsese
1010540,Terence Winter
67789,Jordan Belfort
138,Leonardo DiCaprio
1706767,Jonah Hill
3053338,Margot Robbie
6452,Stanley Kramer
542631,Abby Mann
1050,Montgomery Clift
75,Spencer Tracy
44,Burt Lancaster
1847,Richard Widmark
142,Clint Eastwood
672459,David Webb Peoples
142,Clint Eastwood
432,Gene Hackman
151,Morgan Freeman
41,Akira Kurosawa
41,Akira Kurosawa
644823,Hideo Oguni
406836,Masato Ide
619938,Tatsuya Nakadai
855417,Akira Terao
628704,Jinpachi Nezu
217,Martin Scorsese
683380,Nicholas Pileggi
217,Martin Scorsese
134,Robert De Niro
232,Sharon Stone
582,Joe Pesci
868219,Guillermo del Toro
868219,Guillermo del Toro
1419440,Ivana Baquero
317725,Ariadna Gil
530365,Sergi López
759,Paul Thomas Anderson
759,Paul Thomas Anderson
801737,Upton Sinclair
358,Daniel Day-Lewis
200452,Paul Dano
1354,Ciarán Hinds
796117,M. Night Shyamalan
796117,M. Night Shyamalan
246,Bruce Willis
5286,Haley Joel Osment
1057,Toni Collette
165,Ron Howard
326040,Akiva Goldsman
621586,Sylvia Nasar
128,Russell Crowe
438,Ed Harris
124,Jennifer Connelly
416,Terry Gilliam
1402,Terry Jones
1037,Graham Chapman
92,John Cleese
1385,Eric Idle
1037,Graham Chapman
92,John Cleese
1385,Eric Idle
1837,Peter Weir
629272,Andrew Niccol
120,Jim Carrey
438,Ed Harris
1473,Laura Linney
41,Akira Kurosawa
41,Akira Kurosawa
452878,Ryûzô Kikushima
1536,Toshirô Mifune
867391,Eijirô Tôno
619938,Tatsuya Nakadai
1379,John Huston
1379,John Huston
871252,B. Traven
7,Humphrey Bogart
404158,Walter Huston
392529,Tim Holt
41,Akira Kurosawa
15611,Ryûnosuke Akutagawa
